time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1570438800,24947,40.0,null,79.0,null,1005.96,null,5.567,null,5.567,null
1570456800,24947,40.0,null,79.267,null,1005.394,null,3.571,null,3.571,null
1570435200,24947,40.0,null,79.0,null,1005.98,null,7.595,null,7.595,null
1570809600,24947,31.467,null,87.834,null,999.813,null,2.564,null,2.564,null
1570806000,24947,33.0,null,88.0,null,999.687,null,4.633,null,4.633,null
1570813200,24947,30.8,null,86.8,null,999.809,null,2.517,null,2.517,null
1570831200,24947,33.034,null,86.166,null,1002.5,null,2.22,null,2.22,null
1570802400,24947,33.9,null,87.233,null,999.731,null,9.148,null,9.148,null
1570824000,24947,33.633,null,87.966,null,1001.873,null,2.817,null,2.817,null
1570791600,24947,38.0,null,81.267,null,999.208,null,10.794,null,10.794,null
1570795200,24947,36.2,null,85.467,null,999.282,null,10.341,null,10.341,null
1570762800,24947,37.0,null,80.0,null,998.477,null,0.684,null,0.684,null
1570755600,24947,36.0,null,81.367,null,999.36,null,0.94,null,0.94,null
1570784400,24947,38.0,null,78.0,null,998.798,null,11.649,null,11.649,null
1570780800,24947,38.0,null,77.9,null,998.391,null,13.637,null,13.637,null
1570798800,24947,33.8,null,85.3,null,999.442,null,17.619,null,17.619,null
1570759200,24947,36.8,null,80.666,null,998.949,null,0.861,null,0.861,null
1570788000,24947,38.0,null,78.434,null,999.02,null,12.91,null,12.91,null
1570777200,24947,37.433,null,78.0,null,998.162,null,14.033,null,14.033,null
1570752000,24947,36.0,null,82.166,null,999.515,null,1.276,null,1.276,null
1570834800,24947,33.166,null,85.7,null,1002.938,null,1.849,null,1.849,null
1570820400,24947,33.5,null,87.233,null,1001.09,null,3.254,null,3.254,null
1570827600,24947,33.267,null,87.0,null,1002.238,null,2.088,null,2.088,null
1570766400,24947,37.0,null,79.367,null,998.387,null,0.72,null,0.72,null
1570770000,24947,37.0,null,79.0,null,998.409,null,0.414,null,0.414,null
1570773600,24947,37.0,null,78.4,null,998.245,null,0.506,null,0.506,null
1570816800,24947,31.934,null,87.0,null,1000.298,null,3.276,null,3.276,null
1570251600,24947,36.0,null,81.0,null,1010.376,null,2.627,null,2.627,null
1570240800,24947,36.0,null,82.0,null,1010.924,null,3.361,null,3.361,null
1570302000,24947,34.567,null,89.434,null,1006.466,null,23.73,null,32.681,null
1570244400,24947,36.0,null,82.0,null,1010.641,null,3.065,null,3.065,null
1570269600,24947,37.0,null,80.0,null,1010.167,null,1.137,null,1.137,null
1570255200,24947,36.0,null,81.0,null,1010.587,null,2.34,null,2.34,null
1570276800,24947,38.0,null,79.9,null,1009.441,null,1.158,null,1.158,null
1570294800,24947,37.0,null,86.2,null,1007.125,null,1.669,null,1.669,null
1570280400,24947,38.6,null,79.0,null,1008.639,null,1.28,null,1.28,null
1570258800,24947,36.0,null,80.934,null,1010.776,null,1.972,null,1.972,null
1570287600,24947,39.0,null,81.067,null,1007.803,null,6.519,null,6.519,null
1570312800,24947,35.767,null,85.3,null,1007.315,null,19.621,null,19.621,null
1570237200,24947,35.166,null,82.966,null,1011.214,null,3.95,null,3.95,null
